x, y, type     , rotation
0, 0, turn     , 270
0, 1, straight , 90
0, 2, 3way     , 270
0, 3, straight , 90
0, 4, 3way     , 270
0, 5, straight , 90
0, 6, straight , 90
0, 7, straight , 90
0, 8, turn     , 180
1, 0, straight , 0
1, 1, empty    , 0
1, 2, straight , 0
1, 3, empty    , 0
1, 4, straight , 0
1, 5, empty    , 0
1, 6, empty    , 0
1, 7, empty    , 0
1, 8, straight , 0
2, 0, straight , 0
2, 1, empty    , 0
2, 2, turn     , 0
2, 3, straight , 90
2, 4, 4way     , 0
2, 5, straight , 90
2, 6, turn     , 180
2, 7, empty    , 0
2, 8, straight , 0
3, 0, 3way     , 0
3, 1, straight , 90
3, 2, turn     , 180
3, 3, empty    , 0
3, 4, straight , 0
3, 5, empty    , 0
3, 6, turn     , 0
3, 7, straight , 90
3, 8, 3way     , 180 
4, 0, straight , 0
4, 1, empty    , 0
4, 2, straight , 0
4, 3, empty    , 0
4, 4, turn     , 0
4, 5, straight , 90
4, 6, turn     , 180
4, 7, empty    , 0
4, 8, straight , 0
5, 0, turn     , 0
5, 1, straight , 90
5, 2, turn     , 90
5, 3, empty    , 0
5, 4, empty    , 0
5, 5, empty    , 0
5, 6, turn     , 0
5, 7, straight , 90
5, 8, turn     , 90 
